subject_ID,time ,status,treatment 
c1,2,1,"StockB, 10^5"
c2,4,1,"StockB, 10^5"
c3,7,1,"StockB, 10^5"
c4,7,1,"StockB, 10^5"
c5,9,1,"StockB, 10^5"
d1,1,1,"StockB, 10^6"
d2,1,1,"StockB, 10^6"
d3,2,1,"StockB, 10^6"
d4,5,1,"StockB, 10^6"
d5,5,1,"StockB, 10^6"
f1,9,0,"Trial1,10^5"
f2,9,0,"Trial1,10^5"
f3,9,0,"Trial1,10^5"
f4,9,0,"Trial1,10^5"
f5,9,0,"Trial1,10^5"
f6,9,0,"Trial1,10^5"
f7,9,0,"Trial1,10^5"
f8,9,0,"Trial1,10^5"
f9,9,0,"Trial1,10^5"
f10,9,0,"Trial1,10^5"
e1,2,1,"Trial1,10^6"
e2,2,1,"Trial1,10^6"
e3,2,1,"Trial1,10^6"
e4,2,1,"Trial1,10^6"
e5,9,1,"Trial1,10^6"
e6,9,1,"Trial1,10^6"
e7,9,0,"Trial1,10^6"
e8,9,0,"Trial1,10^6"
e9,9,0,"Trial1,10^6"
e10,9,0,"Trial1,10^6"
