subject_ID,time ,status,treatment 
a1,2,1,"StockA, 10^5"
a2,9,0,"StockA, 10^5"
a3,9,0,"StockA, 10^5"
a4,9,0,"StockA, 10^5"
a5,9,0,"StockA, 10^5"
b1,1,1,"StockA, 10^6"
b2,3,1,"StockA, 10^6"
b3,5,1,"StockA, 10^6"
b4,6,1,"StockA, 10^6"
b5,7,1,"StockA, 10^6"
c1,2,1,"StockB, 10^5"
c2,4,1,"StockB, 10^5"
c3,7,1,"StockB, 10^5"
c4,7,1,"StockB, 10^5"
c5,9,1,"StockB, 10^5"
d1,1,1,"StockB, 10^6"
d2,1,1,"StockB, 10^6"
d3,2,1,"StockB, 10^6"
d4,5,1,"StockB, 10^6"
d5,5,1,"StockB, 10^6"
e1,9,0,PBS
e2,9,0,PBS
e3,9,0,PBS
e4,9,0,PBS
e5,9,0,PBS
